params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,total_running_time
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 300}",0.963152709359606,0.0075606836309080145,485,5.40697717666626,0.09053944256150215,0.18187217712402343,0.04480987997032437,5.588849353790283
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 500}",0.9617723396366333,0.00705603901213054,533,7.4273027896881105,0.16354150690579358,0.22797493934631347,0.029585167774599526,7.655277729034424
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 100}",0.9613104507654008,0.00444519462668566,546,3.476308059692383,0.14766041604297844,0.10413269996643067,0.02048807872617108,3.5804407596588135
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 300}",0.9649960273319562,0.008407432533631463,312,5.437138795852661,0.07613233147633412,0.16081452369689941,0.040198004728086746,5.5979533195495605
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 500}",0.9640754277239261,0.008301617551370865,424,7.407783889770508,0.23525468305062108,0.20130934715270996,0.016107680132684685,7.6090932369232185
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 100}",0.9585475925631654,0.010988257217467252,587,3.413444471359253,0.13361697415824905,0.09197349548339843,0.014145445599577996,3.5054179668426517
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 300}",0.962235287886011,0.011687076116692285,509,5.188459253311157,0.06346802580627352,0.1763437271118164,0.036383263238976386,5.364802980422973
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 500}",0.9645351978388685,0.006596963511117711,381,7.163152122497559,0.25599482087157516,0.20742454528808593,0.02699458449161255,7.370576667785645
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 100}",0.962236347264156,0.010733682727183468,508,3.3835734367370605,0.05839699859006323,0.09963374137878418,0.039701967269207314,3.4832071781158445
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 300}",0.9613115101435458,0.00991091144122976,544,5.228085565567016,0.1578115527593258,0.17711215019226073,0.03821318729115183,5.405197715759277
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 500}",0.9649970867101011,0.008144408232899816,305,7.172928047180176,0.10742304412714596,0.23015937805175782,0.04086927151016121,7.403087425231933
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 100}",0.9613093913872557,0.006889521094850072,547,3.368853950500488,0.16464954198142748,0.1072352409362793,0.04102895584283709,3.4760891914367673
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 300}",0.9631537687377509,0.006160262871488228,483,5.2052774906158445,0.07254434261946718,0.17615013122558593,0.03793460089288937,5.38142762184143
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 500}",0.9640754277239261,0.008301617551370863,424,7.217172384262085,0.1048457846135842,0.2089839458465576,0.030591933097421063,7.426156330108642
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 100}",,,670,2.4187401294708253,0.08540267750581837,0.0,0.0,2.4187401294708253
